,page_number,sentence_chunk,chunk_char_count,chunk_word_count,chunk_token_count,file_name
10,8,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:27 2.4.3 Linear Models . . . . . . . . . . . . . . . . . . . . . . .29 2.4.3.1 Linear Regression . . . . . . . . . . . . . . . . . .30 2.4.3.2 Logistic Regression and Binary Classiﬁcation . .31 2.4.3.3 Logistic Regression and Multinomial Classiﬁca- tion . . . . . . . . . . . . . . . . . . . . . . . . . . .33 2.4.3.4 Naive Bayes Classiﬁer . . . . . . . . . . . . . . . .,371,110,92.75,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
11,8,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:34 2.4.4 Nonlinear Models . . . . . . . . . . . . . . . . . . . . .36 2.4.4.1 Feature Mapping and Kernel Methods . . . . . .36 2.4.4.2 Adaptive Basis and Decision Trees . . . . . . . .40 2.5 Representation Learning . . . . . . . . . . . . . . . . . . .41 2.5.1 Principal Component Analysis . . . . . . . . . . . . .,315,90,78.75,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
12,8,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:42 2.5.1.1 Decorrelation . . . . . . . . . . . . . . . . . . . . .42 2.5.1.2 Dimensionality Reduction . . . . . . . . . . . . .46 2.5.2 Clustering . . . . . . . . . . . . . . . . . . . . . . . . .49 2.6 More Specialized Models . . . . . . . . . . . . . . . . . . .52 2.6.1 Consumer Choice Theory . . . . . . . . . . . . . . . .,327,110,81.75,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
13,8,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:52 2.6.1.1 Multinomial Logit Model . . . . . . . . . . . . . .54 2.6.1.2 Estimation of the Multinomial Logit Model . . .57 2.6.2 Survival Analysis . . . . . . . . . . . . . . . . . . . . .58 2.6.2.1 Survival Function . . . . . . . . . . . . . . . . . .60 2.6.2.2 Hazard Function . . . . . . . . . . . . . . . . . . .,316,96,79.0,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
14,9,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:x contents 2.6.3 Auction Theory . . . . . . . . . . . . . . . . . . . . . .68 2.7 Summary . . . . . . . . . . . . . . . . . . . . . . . . . . . .72 3 promotions and advertisements 75 3.1 Environment . . . . . . . . . . . . . . . . . . . . . . . . . .76 3.2 Business Objectives . . . . . . . . . . . . . . . . . . . . . .80 3.2.1 Manufacturers and Retailers . . . . . . . . . . . . . . .,386,134,96.5,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
15,9,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:80 3.2.2 Costs . . . . . . . . . . . . . . . . . . . . . . . . . . . .81 3.2.3 Gains . . . . . . . . . . . . . . . . . . . . . . . . . . . .82 3.3 Targeting Pipeline . . . . . . . . . . . . . . . . . . . . . . .85 3.4 Response Modeling and Measurement . . . . . . . . . . .88 3.4.1 Response Modeling Framework . . . . . . . . . . . . .,335,120,83.75,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
16,9,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:89 3.4.2 Response Measurement . . . . . . . . . . . . . . . . .93 3.5 Building Blocks: Targeting and LTV Models . . . . . . . .94 3.5.1 Data Collection . . . . . . . . . . . . . . . . . . . . . .95 3.5.2 Tiered Modeling . . . . . . . . . . . . . . . . . . . . . .96 3.5.3 RFM Modeling . . . . . . . . . . . . . . . . . . . . . .,328,111,82.0,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
17,9,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:98 3.5.4 Propensity Modeling . . . . . . . . . . . . . . . . . . .99 3.5.4.1 Look-alike Modeling . . . . . . . . . . . . . . . .100 3.5.4.2 Response and Uplift Modeling . . . . . . . . . . .104 3.5.5 Segmentation and Persona-based Modeling . . . . . .107 3.5.6 Targeting by using Survival Analysis . . . . . . . . . .,317,85,79.25,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
18,9,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:109 3.5.7 Lifetime Value Modeling . . . . . . . . . . . . . . . . .113 3.5.7.1 Descriptive Analysis . . . . . . . . . . . . . . . . .113 3.5.7.2 Markov Chain Models . . . . . . . . . . . . . . . .116 3.5.7.3 Regression Models . . . . . . . . . . . . . . . . . .119 3.6 Designing and Running Campaigns . . . . . . . . . . . . .,326,101,81.5,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
19,9,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:120 3.6.1 Customer Journeys . . . . . . . . . . . . . . . . . . . .121 3.6.2 Product Promotion Campaigns . . . . . . . . . . . . .123 3.6.2.1 Targeting Process . . . . . . . . . . . . . . . . . .123 3.6.2.2 Budgeting and Capping . . . . . . . . . . . . . . .126 3.6.3 Multistage Promotion Campaigns . . . . . . . . . . .,320,96,80.0,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
20,9,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:131 3.6.4 Retention Campaigns . . . . . . . . . . . . . . . . . . .133 3.6.5 Replenishment Campaigns . . . . . . . . . . . . . . .136 3.7 Resource Allocation . . . . . . . . . . . . . . . . . . . . . .137 3.7.1 Allocation by Channel . . . . . . . . . . . . . . . . . .138 3.7.2 Allocation by Objective . . . . . . . . . . . . . . . . . .,337,110,84.25,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
21,9,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:142 3.8 Online Advertisements . . . . . . . . . . . . . . . . . . . .144 3.8.1 Environment . . . . . . . . . . . . . . . . . . . . . . . .144 3.8.2 Objectives and Attribution . . . . . . . . . . . . . . . .146 3.8.3 Targeting for the CPA-LT Model . . . . . . . . . . . .149 3.8.3.1 Brand Proximity . . . . . . . . . . . . . . . . . . .,335,110,83.75,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
22,9,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:151 3.8.3.2 Ad Response Modeling . . . . . . . . . . . . . . .152 3.8.3.3 Inventory Quality and Bidding . . . . . . . . . .152,126,35,31.5,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
23,10,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:contents xi 3.8.4 Multi-Touch Attribution . . . . . . . . . . . . . . . . .154 3.9 Measuring the Effectiveness . . . . . . . . . . . . . . . . .157 3.9.1 Randomized Experiments . . . . . . . . . . . . . . . .157 3.9.1.1 Conversion Rate . . . . . . . . . . . . . . . . . . .157 3.9.1.2 Uplift . . . . . . . . . . . . . . . . . . . . . . . . .,341,111,85.25,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
24,10,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:160 3.9.2 Observational Studies . . . . . . . . . . . . . . . . . .163 3.9.2.1 Model Speciﬁcation . . . . . . . . . . . . . . . . .166 3.9.2.2 Simulation . . . . . . . . . . . . . . . . . . . . . .169 3.10 Architecture of Targeting Systems . . . . . . . . . . . . . .172 3.10.1 Targeting Server . . . . . . . . . . . . . . . . . . . . . .,338,110,84.5,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
25,10,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:172 3.10.2 Data Management Platform . . . . . . . . . . . . . . .174 3.10.3 Analytics Platform . . . . . . . . . . . . . . . . . . . .174 3.11 Summary . . . . . . . . . . . . . . . . . . . . . . . . . . . .175 4 search 179 4.1 Environment . . . . . . . . . . . . . . . . . . . . . . . . . .180 4.2 Business Objectives . . . . . . . . . . . . . . . . . . . . . .,361,129,90.25,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
26,10,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:183 4.2.1 Relevance Metrics . . . . . . . . . . . . . . . . . . . . .185 4.2.2 Merchandising Controls . . . . . . . . . . . . . . . . .190 4.2.3 Service Quality Metrics . . . . . . . . . . . . . . . . . .191 4.3 Building Blocks: Matching and Ranking . . . . . . . . . .193 4.3.1 Token Matching . . . . . . . . . . . . . . . . . . . . . .,337,108,84.25,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
27,10,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:194 4.3.2 Boolean Search and Phrase Search . . . . . . . . . . .195 4.3.3 Normalization and Stemming . . . . . . . . . . . . . .196 4.3.4 Ranking and the Vector Space Model . . . . . . . . .198 4.3.5 TFˆIDF Scoring Model . . . . . . . . . . . . . . . . . .201 4.3.6 Scoring with n-grams . . . . . . . . . . . . . . . . . . .,324,97,81.0,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
28,10,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:205 4.4 Mixing Relevance Signals . . . . . . . . . . . . . . . . . . .206 4.4.1 Searching Multiple Fields . . . . . . . . . . . . . . . .207 4.4.2 Signal Engineering and Equalization . . . . . . . . . .209 4.4.2.1 One Strong Signal . . . . . . . . . . . . . . . . . .209 4.4.2.2 Strong Average Signal . . . . . . . . . . . . . . . .,332,101,83.0,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
29,10,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:212 4.4.2.3 Fragmented Features and Signals . . . . . . . . .213 4.4.3 Designing a Signal Mixing Pipeline . . . . . . . . . .215 4.5 Semantic Analysis . . . . . . . . . . . . . . . . . . . . . . .218 4.5.1 Synonyms and Hierarchies . . . . . . . . . . . . . . .219 4.5.2 Word Embedding . . . . . . . . . . . . . . . . . . . . .,326,100,81.5,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
30,10,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:222 4.5.3 Latent Semantic Analysis . . . . . . . . . . . . . . . .224 4.5.4 Probabilistic Topic Modeling . . . . . . . . . . . . . .231 4.5.5 Probabilistic Latent Semantic Analysis . . . . . . . . .232 4.5.5.1 Latent Variable Model . . . . . . . . . . . . . . . .233 4.5.5.2 Matrix Factorization . . . . . . . . . . . . . . . . .,329,93,82.25,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
31,10,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:236 4.5.5.3 pLSA Properties . . . . . . . . . . . . . . . . . . .237 4.5.6 Latent Dirichlet Allocation . . . . . . . . . . . . . . . .237,137,43,34.25,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
32,11,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:xii contents 4.5.7 Word2Vec Model . . . . . . . . . . . . . . . . . . . . .240 4.6 Search Methods for Merchandising . . . . . . . . . . . . .247 4.6.1 Combinatorial Phrase Search . . . . . . . . . . . . . .249 4.6.2 Controlled Precision Reduction . . . . . . . . . . . . .253 4.6.3 Nested Entities and Dynamic Grouping . . . . . . . .,334,93,83.5,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
33,11,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:255 4.7 Relevance Tuning . . . . . . . . . . . . . . . . . . . . . . . .258 4.7.1 Learning to Rank . . . . . . . . . . . . . . . . . . . . .260 4.7.2 Learning to Rank from Implicit Feedback . . . . . . .265 4.8 Architecture of Merchandising Search Services . . . . . .269 4.9 Summary . . . . . . . . . . . . . . . . . . . . . . . . . . . .,339,109,84.75,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
34,11,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:271 5 recommendations 273 5.1 Environment . . . . . . . . . . . . . . . . . . . . . . . . . .275 5.1.1 Properties of Customer Ratings . . . . . . . . . . . . .277 5.2 Business Objectives . . . . . . . . . . . . . . . . . . . . . .279 5.3 Quality Evaluation . . . . . . . . . . . . . . . . . . . . . . .280 5.3.1 Prediction Accuracy . . . . . . . . . . . . . . . . . . .,369,123,92.25,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
35,11,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:282 5.3.2 Ranking Accuracy . . . . . . . . . . . . . . . . . . . . .284 5.3.3 Novelty . . . . . . . . . . . . . . . . . . . . . . . . . . .285 5.3.4 Serendipity . . . . . . . . . . . . . . . . . . . . . . . . .286 5.3.5 Diversity . . . . . . . . . . . . . . . . . . . . . . . . . .286 5.3.6 Coverage . . . . . . . . . . . . . . . . . . . . . . . . . .,351,137,87.75,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
36,11,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:287 5.3.7 The Role of Experimentation . . . . . . . . . . . . . .288 5.4 Overview of Recommendation Methods . . . . . . . . . .288 5.5 Content-based Filtering . . . . . . . . . . . . . . . . . . . .291 5.5.1 Nearest Neighbor Approach . . . . . . . . . . . . . . .294 5.5.2 Naive Bayes Classiﬁer . . . . . . . . . . . . . . . . . .,330,99,82.5,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
37,11,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:296 5.5.3 Feature Engineering for Content Filtering . . . . . . .301 5.6 Introduction to Collaborative Filtering . . . . . . . . . . .303 5.6.1 Baseline Estimates . . . . . . . . . . . . . . . . . . . .305 5.7 Neighborhood-based Collaborative Filtering . . . . . . . .309 5.7.1 User-based Collaborative Filtering . . . . . . . . . . .,334,80,83.5,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
38,11,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:310 5.7.2 Item-based Collaborative Filtering . . . . . . . . . . .316 5.7.3 Comparison of User-based and Item-based Methods 317 5.7.4 Neighborhood Methods as a Regression Problem . .318 5.7.4.1 Item-based Regression . . . . . . . . . . . . . . .318 5.7.4.2 User-based Regression . . . . . . . . . . . . . . .322 5.7.4.3 Fusing Item-based and User-based Models . . .,365,78,91.25,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
39,11,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:323 5.8 Model-based Collaborative Filtering . . . . . . . . . . . . .324 5.8.1 Adapting Regression Models to Rating Prediction . .325 5.8.2 Naive Bayes Collaborative Filtering . . . . . . . . . . .327 5.8.3 Latent Factor Models . . . . . . . . . . . . . . . . . . .331 5.8.3.1 Unconstrained Factorization . . . . . . . . . . . .,328,81,82.0,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
40,12,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:contents xiii 5.8.3.3 Advanced Latent Factor Models . . . . . . . . . .342 5.9 Hybrid Methods . . . . . . . . . . . . . . . . . . . . . . . .346 5.9.1 Switching . . . . . . . . . . . . . . . . . . . . . . . . . .346 5.9.2 Blending . . . . . . . . . . . . . . . . . . . . . . . . . .347 5.9.2.1 Blending with Incremental Model Training . . .,340,109,85.0,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
41,12,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:349 5.9.2.2 Blending with Residual Training . . . . . . . . . .350 5.9.2.3 Feature-weighted Blending . . . . . . . . . . . . .351 5.9.3 Feature Augmentation . . . . . . . . . . . . . . . . . .354 5.9.4 Presentation Options for Hybrid Recommendations .356 5.10 Contextual Recommendations . . . . . . . . . . . . . . . .,318,79,79.5,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
42,12,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:357 5.10.1 Multidimensional Framework . . . . . . . . . . . . . .358 5.10.2 Context-Aware Recommendation Techniques . . . . .360 5.10.3 Time-Aware Recommendation Models . . . . . . . . .364 5.10.3.1 Baseline Estimates with Temporal Dynamics . .364 5.10.3.2 Neighborhood Model with Time Decay . . . . . .,303,60,75.75,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
43,12,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:366 5.10.3.3 Latent Factor Model with Temporal Dynamics .367 5.11 Non-Personalized Recommendations . . . . . . . . . . . .368 5.11.1 Types of Non-Personalized Recommendations . . . .368 5.11.2 Recommendations by Using Association Rules . . . .370 5.12 Multiple Objective Optimization . . . . . . . . . . . . . . .,313,62,78.25,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
44,12,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:373 5.13 Architecture of Recommender Systems . . . . . . . . . . .377 5.14 Summary . . . . . . . . . . . . . . . . . . . . . . . . . . . .379 6 pricing and assortment 383 6.1 Environment . . . . . . . . . . . . . . . . . . . . . . . . . .384 6.2 The Impact of Pricing . . . . . . . . . . . . . . . . . . . . .386 6.3 Price and Value . . . . . . . . . . . . . . . . . . . . . . . . .,382,135,95.5,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
45,12,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:388 6.3.1 Price Boundaries . . . . . . . . . . . . . . . . . . . . .388 6.3.2 Perceived Value . . . . . . . . . . . . . . . . . . . . . .390 6.4 Price and Demand . . . . . . . . . . . . . . . . . . . . . . .393 6.4.1 Linear Demand Curve . . . . . . . . . . . . . . . . . .394 6.4.2 Constant-Elasticity Demand Curve . . . . . . . . . . .,336,114,84.0,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
46,12,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:395 6.4.3 Logit Demand Curve . . . . . . . . . . . . . . . . . . .397 6.5 Basic Price Structures . . . . . . . . . . . . . . . . . . . . .399 6.5.1 Unit Price . . . . . . . . . . . . . . . . . . . . . . . . .399 6.5.2 Market Segmentation . . . . . . . . . . . . . . . . . . .401 6.5.3 Multipart Pricing . . . . . . . . . . . . . . . . . . . . .,344,123,86.0,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
47,12,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:406 6.5.4 Bundling . . . . . . . . . . . . . . . . . . . . . . . . . .410 6.6 Demand Prediction . . . . . . . . . . . . . . . . . . . . . .414 6.6.1 Demand Model for Assortment Optimization . . . .416 6.6.2 Demand Model for Seasonal Sales . . . . . . . . . . .419 6.6.2.1 Demand Data Preparation . . . . . . . . . . . . .,321,98,80.25,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
48,12,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:419 6.6.2.2 Model Speciﬁcation . . . . . . . . . . . . . . . . .420 6.6.3 Demand Prediction with Stockouts . . . . . . . . . . .421,131,37,32.75,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
49,13,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:xiv contents 6.7 Price Optimization . . . . . . . . . . . . . . . . . . . . . . .424 6.7.1 Price Differentiation . . . . . . . . . . . . . . . . . . .425 6.7.1.1 Differentiation with Demand Shifting . . . . . . .428 6.7.1.2 Differentiation with Constrained Supply . . . . .430 6.7.2 Dynamic Pricing . . . . . . . . . . . . . . . . . . . . .,340,96,85.0,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
50,13,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:433 6.7.2.1 Markdowns and Clearance Sales . . . . . . . . . .436 6.7.2.2 Markdown Price Optimization . . . . . . . . . . .439 6.7.2.3 Price Optimization for Competing Products . . .441 6.7.3 Personalized Discounts . . . . . . . . . . . . . . . . . .444 6.8 Resource Allocation . . . . . . . . . . . . . . . . . . . . . .,320,86,80.0,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
51,13,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:446 6.8.1 Environment . . . . . . . . . . . . . . . . . . . . . . . .447 6.8.2 Allocation with Two Classes . . . . . . . . . . . . . . .450 6.8.3 Allocation with Multiple Classes . . . . . . . . . . . .453 6.8.4 Heuristics for Multiple Classes . . . . . . . . . . . . .455 6.8.4.1 EMSRa . . . . . . . . . . . . . . . . . . . . . . . . .,336,109,84.0,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
52,13,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:455 6.8.4.2 EMSRb . . . . . . . . . . . . . . . . . . . . . . . .457 6.9 Assortment Optimization . . . . . . . . . . . . . . . . . . .457 6.9.1 Store-Layout Optimization . . . . . . . . . . . . . . . .458 6.9.2 Category Management . . . . . . . . . . . . . . . . . .461 6.10 Architecture of Price Management Systems . . . . . . . .,331,103,82.75,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
53,13,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf:466 6.11 Summary . . . . . . . . . . . . . . . . . . . . . . . . . . . .468 a appendix: dirichlet distribution 471 index 475 bibliography 481,141,40,35.25,adtech/algorithmic-marketing-ai-for-marketing-operations-r1.8ga.pdf
