,page_number,sentence_chunk,chunk_char_count,chunk_word_count,chunk_token_count
10,-3,Online Sources  Offline Sources  Combining Online and Offline Data Together  The Data Fragmentation Problem  Data Management Platform (DMP)  Data Collection in a DMP  Pixels and Tags  Piggybacking  Tags  Application Program Interface (API)  First-Party Data Onboarding  Data Normalization and Enrichment in a DMP  Profile Building and Merging  Data Storage  Data Taxonomies  Audience Segmentation and Creation  How A DMP Creates Audience Segments  Use Cases Of Data Activation With A Data Management Platform (DMP)  Data Activation for Advertisers  Data Activation For Publishers  Data Brokers and Integrations With Programmatic Media-Buying Platforms  The Future of DMPs  What Is a Customer Data Platform (CDP)? 4,714,121,178.5
11,-2,12. Attribution  What Is Attribution? Online to Online Attribution Models  How Does Online Attribution work? Online Attribution Models  Cross-Device Attribution  How Does Cross-Device Attribution Work? Offline-Online Attribution  Online-Offline Attribution  The Multi-Device Consumer Journey And The Technological Challenges It Presents  13.,341,47,85.25
12,-2,Ad Fraud and Viewability  Ad Fraud  The Cost of Ad Fraud  The Main Types of Ad Fraud  How Ad Fraud Is Carried Out  Ad Fraud in Emerging Areas of Digital Advertising  How Advertisers And Publishers Can Defend Against Ad Fraud  Ad Viewability  Viewable Impressions  Chapter Summary  14. User Privacy in Digital Advertising  The Rise of Consumer Data Collection and Privacy Concerns  Privacy and Data Protection Laws Around The World  The European Union’s General Data Protection Regulation (GDPR)  The European Union’s ePrivacy Directive  California Consumer Privacy Act of 2018  CCPA vs GDPR: What Are the Similarities and Differences? The Definition of Personally Identifiable Information (PII) and Personal Data  The Definition of Personal Data  Browser Settings  Apple’s Safari  How Does Intelligent Tracking Prevention Impact Digital Advertising? Privacy Changes in iCloud+  Mozilla’s Firefox  Google Chrome  Chrome’s Better Ads Standards  Chrome’s SameSite Cookies  Chrome’s Privacy Sandbox  Chrome’s Plans to Kill Off Third-Party Cookies and the Move To Privacy Sandbox  Mobile IDs  Apple’s AppTrackingTransparency (ATT) Framework  Apple’s SKAdNetwork  5,1159,194,289.75
13,-1,Apple’s Privacy Changes in iOS 15 and iPad 15  Google’s Android Advertising ID (AAID)  Ad Blockers  How Do Ad Blockers Work? The Impact Ad Blockers Have On The Digital Advertising Industry  What Can Publishers Do About Ad Blockers? How can publishers detect if someone is using an ad blocker? How can publishers deal with ad blockers? Opting Out Of Online Behavioral Advertising  How can Internet users opt-out of behavioral or targeted online advertising?,456,78,114.0
14,-1,The Implications Of Opt-Out Solutions  Differing Views on Data Collection  Online Ads And Their Common Pitfalls Of The User Experience  The Future of User Privacy in Digital Advertising  15. AdTech From The Vendors’ And Agencies’ Perspective  AdTech from the Vendor’s Perspective  AdTech Business Models  The Main Technical Challenges of Running an AdTech Company  AdTech from the Advertising Agencies’s Perspective  In-House Programmatic Vs In-House AdTech  1. The Traditional Way of Buying Digital Media  2. An Ad Agency Takes Programmatic Buying and AdTech In-House  3. A Brand Takes Programmatic Buying In-House  4.,619,103,154.75
15,-1,A Brand Takes Programmatic Buying and AdTech In-House  Advertising Technology: The Build vs Rent Dilemma  Build vs Rent: From The Business Perspective  From The Technology Perspective  16. Programmatic & AdTech in 2022: Challenges and Opportunities  6,251,41,62.75
16,0,"01. Introduction  If you were to peel back the curtains on the ads you see on websites and mobile apps, you would be amazed  at what’s happening behind the scenes. The online advertising ecosystem consists of companies, technology  systems, and complex technical processes all working together to serve ads to online users across the  Internet. Online advertising has brought with it a number of positives. For one, it’s provided content creators with a  source of revenue so they can distribute their content for free to online users.",535,92,133.75
17,1,"However, while the online advertising industry has experienced a number of ups, there have also been many  downs. Some key examples include being hit hard by the dot-com bubble in the late 1990s/early 2000s, and  more recently, the introduction of privacy laws (e.g. the GDPR) and privacy settings in browsers (e.g. Safari’s  Intelligent Track Prevention) that have negatively impacted advertisers, AdTech companies, and publishers. Why Have We Written This Book? Throughout our 12+ years of designing and building advertising and marketing technology, we’ve noticed 2  things:  1. The platforms and processes that make up AdTech are highly complex.",649,103,162.25
18,1,2. There are very few resources out there that explain in an easy-to-understand and transparent way how  online advertising works from both a fundamental and technical perspective. It came to our attention that we were essentially sitting on a gold mine of knowledge that we could share with  others. And thus the idea of The AdTech Book was created. Who Is The AdTech Bible Written For?,387,68,96.75
19,1,"The AdTech Book is ideal for anyone wanting to learn about the history of online advertising and understand  how the different elements of the digital advertising technology ecosystem work, what their roles are, and the  relationships between different parties in the industry. Even though the book contains a lot of highly technical and detailed explanations, we’ve tried to write the  AdTech Book in the most straightforward way possible so that anyone can read and understand the contents of  the book. More specifically, the book will greatly benefit:  ● C-level executives and founders at advertising and marketing companies. ● Advertisers and marketers who work in-house or at advertising and digital agencies. ● Programmers and technical teams that build advertising and marketing technology.",799,126,199.75
20,1,"● Publishers and content creators who monetize (or want to) their content with advertising. ● Regular, everyday web surfers who want to learn how online advertising works. General Assumptions  This book assumes that you grasp the concept of how ads are used to monetize websites and promote  products and services. This book does not assume that you have any kind of technical knowledge of how the  platforms and processes work, however if you do, then you will find that it is a lot easier to understand the  technical explanations covered throughout the book. 8",563,98,140.75
21,2,"How This Book Is Organized  The first few chapters of the book introduce the history of online advertising and set the scene for the  subsequent chapters. We cover the fundamentals of digital advertising and then slowly start to introduce the  platforms, intermediaries, and technical processes. Conventions Used In This Book  Bold  Highlights certain terms. Brand awareness (aka branding): The main goal is to reach a broad consumer audience, engage with  them, and maximize the time they are exposed to the brand. Italics  Used to highlight a specific term in a sentence, e.g:  A publisher can be defined as any company that produces content that attracts an audience.",670,115,167.5
22,2,"Bold and italics  Indicates new terms, e.g:  Advertising Technology (Ad Tech, AdTech, adtech, ad tech, ad technology) refers to the software and  tools used to create, run, manage, measure, and optimize online media campaigns. Italics, underline and bold  Used when referring to chapters for further reading, e.g:  See the chapter The Main Digital Advertising Mediums and Channels for more information about the  different types of digital advertisements. 9",457,74,114.25
23,3,"The Light Grey Boxes  Throughout this book, you’ll see light grey boxes like this one. These boxes have 2 purposes -  1. Explain certain terms located in the surrounding text. 2. Provide interesting facts related to the topics being discussed.",243,42,60.75
24,3,"Code Examples  The code examples featured in this book are used for explanation purposes only. They are not designed to  be copied and used unless stated otherwise. Technical Illustrations, Explanations, And Examples  Throughout this book, whenever we illustrate, explain, or provide an example of a technical aspect (e.g. a  process such as server-side video header bidding) we are doing so in the most common or straightforward way  possible in order to avoid the concept being lost in a sea of confusion. It’s also worth noting that there is often more than one way to carry out the technical processes mentioned in  this book. 10",633,110,158.25
25,4,"An illustration about how server-side video header bidding works. Terminology Used In The Book  You’ll notice that in this book we refer to the same thing by different names. For example:  Inventory , also known as ad space or online media , is the available space a publisher has on its site or app. This is common within the online advertising industry, but to avoid confusion, we will aim to only use one term  throughout the book. The only exception to this are the terms online advertising and digital advertising .",520,94,130.0
26,4,"Although these terms are not  synonymous with one another, we’ll use both terms sparingly throughout the book to refer to the same thing —  advertising delivered and displayed on the Internet or digital devices. You can view a list of popular terms in our AdTech glossary . We’d Love To Hear From You  We’ve written this book for you, so if there is something you think we can add or improve on, please feel free to  contact us and let us know. 11",447,87,111.75
27,5,"The contents and information in this book have undergone numerous iterations and edits, however, mistakes  and oversights can occur. If you happen to find any errors or simply want to provide feedback, then please contact us via  adtechbook@clearcode.cc and we’ll review and apply them to further editions. We can also be contacted via the following channels:  Web: clearcode.cc  LinkedIn: linkedin.com/clearcode  Twitter: @clearcodehq  Facebook: facebook.com/clearcode  12",473,72,118.25
28,6,"02. Advertising basics  The Advertiser-Publisher Relationship  Digital advertising is a global multibillion-dollar industry comprising thousands of companies, but at the heart of  it all are two key players: the advertiser and the publisher . The advertiser-publisher relationship dates back well before the invention of the internet. Publishers, such as  newspapers and magazines, would sell ad space to advertisers as a way to generate additional revenue on top  of their regular subscriptions and individual sales. 13",520,80,130.0
29,7,"Nowadays anyone can become a publisher by simply creating a website or developing a mobile app and  selling ad space to advertisers. This has completely changed the dynamics of the traditional  advertiser-publisher relationship. What is an Advertiser? An advertiser is a brand or company (e.g. advertising agency) that wants to get its product or service in front  of its target audience to build brand awareness, develop brand loyalty, and increase sales. Below are some examples of brands that spend billions of dollars ($USD) per year on advertising:  Advertisers aren’t only big brands, however; millions of small- and medium-sized enterprises (SMEs) and  organizations advertise their services and products online every day.",729,115,182.25
30,7,"Large brands, such as those listed above, are often represented by advertising agencies , whose job it is to:  Create the campaign : Designing the graphical elements and message of the ad. Execute the campaign : Configuring the campaign (e.g. setting up targeting and frequency capping) and  launching it across different channels (e.g. web, in-app, and DOOH). Manage the campaign: Measuring campaign results and making changes to improve performance. A brief history of advertising agencies  The first agencies date back as far as 1786 when William Taylor opened his office in London, today  acknowledged as the first advertising agency in history. 14",652,106,163.0
31,8,"However, while the UK business is considered the precursor of advertising agencies in Europe, it was Volney  B. Palmer who took the idea across the ocean, opening the first agency on American soil in Philadelphia in  1842. Volney would buy large amounts of space in various newspapers at a discounted rate, then resell the space  at higher rates to advertisers. The actual ad, including the copy, layout, and artwork, was prepared by the  client, which basically made Palmer an ad-space broker with little influence on the creative side. Some agents, at the request of their clients, created directories with advertising rates of newspapers in New  England. Many agencies made a profit buying newspaper space and reselling it with a markup.",740,125,185.0
32,8,"Many other advertising agencies soon followed the same business model until the 19th century when N. W.  Ayer & Son was founded in New York. The agency, rather than simply selling space, provided a full range of services, including planning, creating,  and executing complete campaigns for its customers. It made itself famous working for clients such as De Beers, AT&T, and the U. S. Army, creating a number of  memorable slogans. We talk more about ad agencies in Chapter 04: The Main Technology Platforms and Intermediaries in the  Digital Advertising Ecosystem  Source: Adland: A Global History of Advertising, published by Kogan Page; Second edition (July 28, 2013)  Throughout this book, you’ll see us use the term advertiser , which can either refer to an advertiser working  in-house at a brand, or an ad agency working on behalf of a brand. Why Do Brands and Companies Advertise?",888,153,222.0
33,8,"There are a number of reasons why brands and companies advertise. Below are some of the main advertising  strategies:  Brand awareness: Reach a broad consumer audience, engage with them, and maximize the time they are  exposed to the brand. Direct response (aka prospecting, acquisition): Generate new leads, sales, and conversions by displaying  ads that persuade the consumer to take some sort of action, such as fill in a form. Retention : Re-engage with existing customers and consumers who have previously interacted or been  exposed to a brand, which is very often conducted via retargeting (aka remarketing) campaigns. What is a Publisher?",646,106,161.5
34,8,"A publisher can be defined as any company that produces content that attracts an audience. Examples of publishers include newspapers and magazines in the offline world, and websites and mobile apps  in the online world. 15",222,37,55.5
35,9,"Above are examples of publishers displayed on different devices. Notice how they all have an ad displayed? The term publisher doesn’t solely refer to websites, it can also extend to content or publishing platforms, such  as YouTube, Facebook, and Hulu. How Do Publishers Monetize Their Websites and Apps? There are a number of ways publishers can monetize their websites or apps depending on their strategy.",407,66,101.75
36,10,"This is by far one of the most popular ways to monetize websites and apps of all shapes and sizes. Depending  on the pricing model, publishers can either make money each time a visitor clicks on an ad or for every 1,000  impressions. See chapter 05. The Main Digital Advertising Mediums and Channels for more information about the  different types of digital advertisements. Paywalls and Registration Walls  17",410,72,102.5
37,11,"Many popular news and premium-content sites hide their content behind paywalls and registration walls. Paywalls: Require users to either buy a subscription or pay a one-time fee to access the content. News and media companies are increasingly implementing paywalls as a way to make up for the financial  losses they’ve experienced as a result of ad blockers. Registration walls: Require users to create a free account, or simply provide their email address in order to  access the content. Registration walls allow publishers to collect first-party data and build addressable audiences.",586,92,146.5
38,11,"Publishers can then offer these audiences to advertisers, which can be used for ad targeting. However, this  method is still susceptible to ad blockers. Products and Services  18",178,30,44.5
39,12,"There are some publishers that monetize their websites by either selling their own products and services or by  partnering with other companies and promoting their products and services, for which they would receive a  commission or percentage of the revenue. Examples include e-commerce stores, affiliate sites, industry-research companies, and sites that offer other  premium content and digital goods. Selling Data  19",421,65,105.25
40,13,"Large publishers with access to thousands of data sets and user profiles are able to sell the information to data  brokers or directly to advertisers. Now that we’ve defined the two most important players in the online-advertising ecosystem, it’s time to embark  on our journey through the online-advertising world, starting with a brief introduction about the technology that  powers it all. What is Advertising Technology (AdTech)? The way in which online advertising campaigns are run in today’s digital world look completely different to how  campaigns were run over the past 150+ years of advertising. It’s all thanks to the rise of advertising technology, which has transformed the way media buyers manage,  measure, and optimize online advertising campaigns.",765,122,191.25
41,13,"Advertising technology (also written as Ad Tech, AdTech, adtech, ad tech, ad technology) refers to the  software and tools used to create, run, manage, measure, and optimize digital advertising campaigns. All parties involved in digital advertising—from brands and advertisers to ad agencies, technology vendors, and  publishers—use one or more pieces of advertising technology. Since the very first pieces of AdTech were introduced in the mid-1990s, a number of new systems have  emerged to solve various problems and capitalize on new opportunities that have risen along the way. AdTech has revolutionized the way brands connect with their audiences and helped both sides get what they  want and need:  Advertisers: Want successful ad campaigns targeted at highly engaged and valued audiences with  measurable results. Publishers: Want high percentages of ad inventory sold at the highest possible price with minimal overhead  costs.",935,146,233.75
42,14,"In the image above, the advertiser (The Energy Drink Co.) pays to have its ads displayed on the publisher’s  website (Daily News). In essence, this has always been the goal of advertising, but the popularization of the Internet and introduction  of AdTech added new channels, mediums, and scale, among other things, to the entire process. For example, instead of a brand or ad agency in Chicago calling up the Chicago Tribune and placing an order  for a full-page ad in the Sunday edition with the intention of reaching Chicagoans, the brand could now buy ad  space on multiple publishers’ websites and only display ads to people from Chicago that would potentially be  interested in buying the advertiser’s product or service. These visitors would match the advertiser’s ideal target-customer profile (aka target audience), made up of a  range of criteria, such as demographics, interests, behaviors, recent purchases, and web history. The advertiser would also want to reach its desired audience at the right time, at the right place, and on the  right device—for example, during business hours at home on a laptop, or late-night in a city center on a mobile  device.",1169,199,292.25
43,14,"<em>We talk more about ad agencies in <a  href=""https://adtechbook.clearcode.cc/adtech-platforms-and-intermediaries/"" target=""_blank"">chapter 04: The  Main Technology Platforms and Intermediaries in the Digital Advertising Ecosystem</a></em>  21",245,26,61.25
44,15,"What is a target audience? A target audience is a group of consumers who are the best fit for potential buyers of an advertiser’s  product or service. They are typically characterized with certain needs or desires. Usually, the target audience can be based on a combination of demographics, interests, and/or behaviors  of the consumers. It’s not only the medium that has changed, but the actual media-buying and selling process has also adapted  to the online world.",467,79,116.75
45,15,"Back when brands would advertise in newspapers and magazines, the brand’s advertisers would contact the  newspaper’s sales team directly and purchase available ad space. Nowadays, most online media is bought and sold with the use of advertising technology, but it is responsible  for more than just moving an ad from an advertiser to a publisher. Here’s a list of just some of the things AdTech is responsible for:  ● Making decisions about which ads to display to a specific group of users based on the advertiser’s  targeting criteria. ● Delivering online media (ads) across different channels (web and in-app mobile) and devices  (smartphones, laptops, tablets, etc.). ● Optimizing campaign performance for advertisers and yield for publishers.",747,121,186.75
46,15,"● Collecting data about users and creating audiences. ● Producing measurement and analytics reports. ● Billing and media-buying process management. In chapter 04. The Main Technology Platforms and Intermediaries in the Online Display Advertising  Ecosystem , we take a closer look at how the different AdTech platforms work and the role they play in digital  advertising.",371,58,92.75
47,15,"Important Terms Explained  One of the main things you’ll discover by reading this book, if you haven’t already, is that the online advertising  industry has its own terminology and an endless supply of initialisms. We’ll now take a look at some of the most important terms that you’ll come across throughout this book, but  you can also check out our AdTech Glossary for an extensive list of advertising technology terminology. // We’ll now take a look at some of the most important terms that you’ll come across throughout this book, but  you can also check out our AdTech Glossary located at the end of this book for an extensive list of advertising  technology terminology. Ad Slot  22",688,123,172.0
48,16,"An ad slot refers to the actual space on a website that is filled with ads. You can think of this as a dedicated  part of a website for displaying ads. In an ad slot there is an ad tag that communicates with the ad server to  load an actual ad . Ad Space  Ad space is the actual impression available in the ad slot. The terms ad space and ad slot are often used  interchangeably, but the main difference is that an ad slot is where the ad space is hosted.",455,96,113.75
49,17,"To help clarify this point, think about a billboard. The actual billboard would be the ad slot and the white section  inside the billboard where the ads are placed would be the ad space. Inventory  Inventory, aka ad inventory, is the name given to all the ad space available on a website. Sometimes,  inventory and ad space are used interchangeably. There are three main types of inventory: premium , remnant , and long-tail .",426,77,106.5
50,17,"Premium inventory is a publisher’s most sought-after or most-valuable inventory. It is often inventory located  on recognizable publisher sites and typically on high-traffic pages, such as a home page, or in highly visible  areas, such as at the top of a page. Remnant inventory is inventory that a publisher has been unable to sell directly to advertisers through direct  deals and other primary inventory-monetization channels. It’s basically leftover inventory publishers are willing  to sell for less than their standard price. Long-tail inventory is inventory found on small sites and blogs.",596,94,149.0
51,17,"A large chunk of this type of inventory is sold  via Google AdSense. Long-tail sites sometimes seek better monetization alternatives to AdSense, for example,  by joining affiliate programs and networks. Creative  A c reative is the file containing the actual advertisement that the user is exposed to. The most common types  of creatives are graphical files (either static or animated), video files, and audio files, and can come in many  formats, including GIF, JPEG and HTML5 (earlier Flash), as well as MOV, FLV, MP4 for video files. 24",539,93,134.75
52,18,"Examples of different types of ads. Creative Specifications  Creative specifications prepare every party in the ecosystem to receive, handle, and display the  advertisements, from ad agencies designing the creatives, to AdTech vendors delivering and measuring the  ads, through to publishers preparing their sites to display ads. These specifications have been developed by the Interactive Advertising Bureau (IAB) , an organization  designed to deliver standardization to the online advertising industry. For the most part, creative specifications:  ●  Specify dimensions, size, and file formats. For example.:",611,90,152.75
53,18,"○  300x250 pixels (dimensions). Maximum 100 KB (size). HTML5, GIF, or JPEG (file format). ●  Outline good practices. For example:  ○  The <noscript> tag should be applied, as this provides a path to an alternate image when users  have scripts disabled in their browser.",269,49,67.25
54,18,"○  LEAN principles: L ightweight, E ncrypted, A d-choice-supported, N on-invasive ads. ●  Define functional requirements, such as:  ○  Maximum animation length of 15 seconds. ○  Audio must be user initiated (i.e. they must mute/unmute the audio), with mute being the default  state. ○  Expansion is not allowed. ●  Include other technical requirements.",352,61,88.0
55,19,"○  A minimum 24 frames per second (fps). ○  Z-index guidelines to specify the content elements on a webpage. These guidelines help  publishers provide a seamless user experience by ensuring ads are displayed on the correct  CSS layer, which prevents ads and the publisher’s content (e.g. text and images) from being  displayed on top of one another. Display Ad Formats  You would have noticed already that ads shown in web browsers can come in different shapes and sizes  depending on where they are shown and on which device they are displayed (e.g. desktop or mobile). Each type of ad has its own set of formats, most of which were created by the IAB in the late 1990s/early  2000s as a way to create a standard for the industry and make it easier for advertisers and publishers to trade  media.",797,148,199.25
56,19,"Traditionally, the most popular online ad formats have been the following:  These types of ad formats were part of the universal ad package (UAP), which was used in online advertising  for most of the past decade. 26",216,39,54.0
57,20,"The above ad formats are displayed in pixels (px), however, the most recent update from the IAB has changed  these ad formats slightly. IAB New Ad Portfolio  In July 2017, the Interactive Advertising Bureau (IAB) released a finalized version of the new standard, known  as IAB Standard Ad Unit Portfolio which was the biggest update since 2002 and supersedes the universal ad  package (UAP). The Ad Unit Portfolio has been enriched with ad units allowing for each creative to adjust to a variety of screen  sizes and resolutions. The ad units now include ad sizes based on aspect ratio rather than on specific sizes in pixels, and incorporate  the LEAN Principles:  L ightweight  E ncrypted  A dChoices supported  N on-invasive ads across mobile, display, and native ad formats. 27",781,139,195.25
58,21,"The above images illustrate the difference between ads that have an aspect ratio of 1:1 and 1:2. The current  IAB ad formats consist of nine aspect ratios. Learn more at iab.com  The aspect-ratio feature allows ads to adjust to match various screen sizes and resolutions. The IAB’s new ad  portfolio is based on HTML5 and also includes guidelines for augmented reality (AR), virtual reality (VR), social  media, mobile video, emoji ad messaging, and 360-degree video ads. 28",474,81,118.5
59,22,"Impression  An impression , also sometimes referred to as an ad view , is counted every time a creative is served. It’s important to note that if a user refreshed the page and saw the exact same ad, then another new  impression would be counted. See chapter 06. Ad Serving chapter to learn more about impressions and how they are tracked. Viewable Impression  A viewable impression is a metric used to determine whether an impression was actually seen by a real  human or whether it was “seen” by a bot or hidden from the user’s view—for example, at the bottom of the  page where the user doesn’t scroll.",604,113,151.0
60,23,"Please refer to chapter 13. Ad Fraud and Viewability chapter for more information about viewability. Click  A click is counted when someone clicks on an ad, even if the person doesn’t reach the advertiser’s website,  for example, if it’s temporarily unavailable. 30",265,44,66.25
61,24,"Conversion  A conversion is counted every time a user completes a goal set by an advertiser or marketer. For example, a goal could be to get consumers to purchase a product, sign up for an online service, download  a file like an ebook, or even fill in a contact form on a landing page. The form on the left represents the goal – get visitors to download the free guide – and the graph on the right  represents the number of conversions per month (how many times the free guide was downloaded). Landing Page  A landing page is a web page that an online user “lands on” after clicking on an ad or link. Landing pages are designed to be different than the usual pages of an advertiser’s website, as they are built  with a single objective in mind — get the user to convert and complete a goal, like the ones mentioned above.",822,159,205.5
62,24,"Advertising campaigns usually direct traffic to landing pages to increase the number of conversions, especially  when it’s a direct-response or prospecting campaign. 31",168,24,42.0
63,25,"The page on the left is a dedicated landing page, as it has one common theme (programmatic media-buying  development services) and one common goal (schedule a one-on-one consultation). The page on the right is  the homepage and has a more general theme with a number of different navigation options. Effectiveness of a Campaign  Throughout this book, you will see us talk about the effectiveness of an advertising campaign . This refers to meeting the goals and objectives of the campaign, whether that be increasing the number of  conversions and sales or traffic to the advertiser’s landing page or website. Pricing Models  There are a few ways advertisers pay to show their ads on publisher sites.",700,120,175.0
64,25,"Cost Per Mille (CPM)  The CPM pricing model refers to the cost per 1,000 impressions; the word mille is Latin for one thousand. The reason we use thousands instead of individual impressions is that the price per impression is very small  compared to clicks or conversions and it would be cumbersome from an accounting perspective if the  advertiser paid $0.002 per impression. Even though the calculation in ad servers and DSPs is done on a per-impression cost (e.g. $0.002 per  impressions), the CPM formula is presented to the advertiser, publisher, or AdOps team so that’s easier for  them to calculate. 32",609,106,152.25
65,26,"Cost Per Click (CPC)  Cost per click is a pricing model used to express how much each click on an ad or link would cost the  advertiser. If an advertiser buys ad inventory from a publisher on a CPC basis of $1.10, then every time a visitor clicks on  the ad, the advertiser is charged $1.10. Cost Per Action/Acquisition (CPA)  With this model, the publisher or affiliate only receives payment from the advertiser when a user has converted  (e.g. purchased a product or filled in a lead form) as a result of viewing or clicking on an ad. This model is often  applied in affiliate networks and isn’t as popular as the CPM or CPC models. Advertisers generally choose the pricing model based on their advertising strategy.",718,133,179.5
66,26,"For example, if an  advertiser wants to gain brand awareness on a large scale, it would likely choose the CPM model. If it wanted  to increase conversions, it would probably go for either the CPM or CPA model. Did You Know? You can get estimates on current display advertising figures, including CTR, ad format performance, vertical  performance, etc.,using Google’s Display Benchmark tool.",390,65,97.5
67,26,"Chapter Conclusion  This concludes the list of the most important terms. There will be other phrases, acronyms, and vocabulary that will appear in this book, but we’ll introduce them  using the light-grey information boxes as well as link them to our AdTech Glossary . 33",271,47,67.75
68,27,"03. The History of Online Advertising Technology  Advertising Moves Online  It was during the early 1990s when many companies, organizations, and Internet enthusiasts started creating  the first public websites. Advertisers soon spotted the potential that this new world had to offer and began  testing uncharted waters. 34",323,51,80.75
69,28,"The year 1994 saw the first recorded example of online display advertising in the form of a banner ad, which  appeared on a website called HotWired (now wired.com). It was purchased by telecommunications giant AT&T  and used to promote its campaign titled You Will. Image on the left: The first ever banner ad by AT&T appeared on HotWired on October 27, 1994. The image on the right: AT&T’s landing page for its You Will ad campaign. Over its three-month life span, 44% of viewers clicked on the banner ad ; compare that to today, where it’s  estimated that online visitors click on about 0.02% to 2% of ads.",608,111,152.0
70,28,"What is click-through rate? (CTR)  Click-through rate (CTR) is the number of clicks an ad receives divided by the number of times it’s  displayed. For example, if an ad had a CTR of 2%, then for every 1,000 impressions, it received 20 clicks. 35",245,46,61.25
